Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
"{'x': 1230.68, 'y': 274.199, 'c': 0.840742}","{'x': 1330.79, 'y': 344.966, 'c': 0.78976}","{'x': 1286.73, 'y': 362.514, 'c': 0.692934}","{'x': 1242.51, 'y': 506.72, 'c': 0.791195}","{'x': 1233.81, 'y': 365.429, 'c': 0.64905}","{'x': 1374.95, 'y': 338.992, 'c': 0.794196}","{'x': 1283.79, 'y': 459.72, 'c': 0.834619}","{'x': 1260.22, 'y': 353.704, 'c': 0.80946}","{'x': 1345.6, 'y': 633.335, 'c': 0.54076}","{'x': 1319.12, 'y': 630.371, 'c': 0.451794}","{'x': 1351.33, 'y': 880.463, 'c': 0.721768}","{'x': 1377.9, 'y': 1074.89, 'c': 0.202056}","{'x': 1366.17, 'y': 639.158, 'c': 0.534375}","{'x': 1316.15, 'y': 877.537, 'c': 0.653556}","{'x': 1330.79, 'y': 1074.89, 'c': 0.185021}","{'x': 1230.77, 'y': 265.239, 'c': 0.0924367}","{'x': 1236.62, 'y': 253.575, 'c': 0.897415}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1292.55, 'y': 247.827, 'c': 0.860246}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1333.86, 'y': 1074.93, 'c': 0.0832279}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1389.66, 'y': 1074.91, 'c': 0.0606459}",
"{'x': 1233.7, 'y': 277.159, 'c': 0.877445}","{'x': 1330.79, 'y': 353.642, 'c': 0.820089}","{'x': 1286.67, 'y': 365.571, 'c': 0.723462}","{'x': 1239.7, 'y': 509.654, 'c': 0.771688}","{'x': 1233.61, 'y': 389.022, 'c': 0.671309}","{'x': 1377.86, 'y': 338.892, 'c': 0.810203}","{'x': 1298.5, 'y': 456.744, 'c': 0.796642}","{'x': 1263.15, 'y': 353.672, 'c': 0.776196}","{'x': 1348.56, 'y': 636.243, 'c': 0.577304}","{'x': 1321.99, 'y': 633.321, 'c': 0.503021}","{'x': 1351.37, 'y': 880.399, 'c': 0.71637}","{'x': 1377.94, 'y': 1074.89, 'c': 0.234311}","{'x': 1374.91, 'y': 636.262, 'c': 0.559137}","{'x': 1310.25, 'y': 868.767, 'c': 0.676226}","{'x': 1330.77, 'y': 1074.89, 'c': 0.254568}","{'x': 1233.83, 'y': 262.472, 'c': 0.0698713}","{'x': 1239.59, 'y': 253.689, 'c': 0.861401}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1295.57, 'y': 247.864, 'c': 0.870852}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1331, 'y': 1074.91, 'c': 0.121266}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1386.78, 'y': 1074.91, 'c': 0.0721354}",
"{'x': 1233.79, 'y': 274.246, 'c': 0.894704}","{'x': 1330.83, 'y': 350.724, 'c': 0.811966}","{'x': 1283.87, 'y': 365.526, 'c': 0.707538}","{'x': 1236.66, 'y': 506.842, 'c': 0.789444}","{'x': 1227.88, 'y': 389.105, 'c': 0.68647}","{'x': 1378, 'y': 336.056, 'c': 0.787068}","{'x': 1307.24, 'y': 456.574, 'c': 0.866132}","{'x': 1263.21, 'y': 344.819, 'c': 0.77857}","{'x': 1351.34, 'y': 639.2, 'c': 0.568681}","{'x': 1319.11, 'y': 636.272, 'c': 0.492878}","{'x': 1351.42, 'y': 880.435, 'c': 0.725562}","{'x': 1378.01, 'y': 1074.89, 'c': 0.246557}","{'x': 1375.01, 'y': 642.066, 'c': 0.552903}","{'x': 1307.3, 'y': 862.964, 'c': 0.701251}","{'x': 1330.96, 'y': 1074.89, 'c': 0.248726}","{'x': 1233.84, 'y': 262.388, 'c': 0.0903793}","{'x': 1242.54, 'y': 253.629, 'c': 0.846446}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1298.51, 'y': 250.621, 'c': 0.869654}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1336.81, 'y': 1074.92, 'c': 0.115811}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1389.72, 'y': 1074.91, 'c': 0.0805632}",
"{'x': 1233.82, 'y': 274.305, 'c': 0.879991}","{'x': 1330.8, 'y': 353.641, 'c': 0.812656}","{'x': 1283.72, 'y': 368.362, 'c': 0.682011}","{'x': 1233.77, 'y': 509.798, 'c': 0.809001}","{'x': 1227.87, 'y': 389.099, 'c': 0.695302}","{'x': 1380.87, 'y': 336.027, 'c': 0.776916}","{'x': 1313.15, 'y': 450.855, 'c': 0.822645}","{'x': 1263.26, 'y': 344.815, 'c': 0.78131}","{'x': 1348.52, 'y': 636.213, 'c': 0.587023}","{'x': 1316.14, 'y': 633.302, 'c': 0.523902}","{'x': 1345.51, 'y': 874.667, 'c': 0.689456}","{'x': 1377.97, 'y': 1074.9, 'c': 0.171655}","{'x': 1375.05, 'y': 636.255, 'c': 0.56793}","{'x': 1307.25, 'y': 859.943, 'c': 0.754489}","{'x': 1330.94, 'y': 1074.89, 'c': 0.232255}","{'x': 1233.84, 'y': 262.363, 'c': 0.113742}","{'x': 1245.48, 'y': 253.644, 'c': 0.824221}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1304.22, 'y': 250.697, 'c': 0.870196}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1339.63, 'y': 1074.92, 'c': 0.107209}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}",
"{'x': 1236.58, 'y': 274.287, 'c': 0.886578}","{'x': 1328.03, 'y': 353.704, 'c': 0.824892}","{'x': 1280.73, 'y': 368.433, 'c': 0.685068}","{'x': 1233.56, 'y': 512.583, 'c': 0.80199}","{'x': 1227.78, 'y': 388.921, 'c': 0.777925}","{'x': 1383.8, 'y': 336.043, 'c': 0.765998}","{'x': 1321.95, 'y': 444.898, 'c': 0.800682}","{'x': 1266.13, 'y': 347.827, 'c': 0.769636}","{'x': 1351.35, 'y': 639.154, 'c': 0.598964}","{'x': 1316.1, 'y': 636.26, 'c': 0.538152}","{'x': 1342.67, 'y': 871.646, 'c': 0.70059}","{'x': 1378.04, 'y': 1074.87, 'c': 0.302789}","{'x': 1377.98, 'y': 639.179, 'c': 0.568835}","{'x': 1304.38, 'y': 856.997, 'c': 0.764613}","{'x': 1348.55, 'y': 1074.88, 'c': 0.246631}","{'x': 1233.8, 'y': 256.632, 'c': 0.150777}","{'x': 1248.43, 'y': 253.592, 'c': 0.834806}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1304.27, 'y': 253.575, 'c': 0.874874}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1351.53, 'y': 1074.9, 'c': 0.136778}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1392.7, 'y': 1074.89, 'c': 0.129953}",
"{'x': 1236.59, 'y': 274.29, 'c': 0.877658}","{'x': 1330.79, 'y': 353.713, 'c': 0.82091}","{'x': 1280.75, 'y': 368.407, 'c': 0.689216}","{'x': 1233.66, 'y': 512.6, 'c': 0.814353}","{'x': 1224.88, 'y': 386.069, 'c': 0.772323}","{'x': 1386.82, 'y': 336.071, 'c': 0.760636}","{'x': 1324.93, 'y': 439.159, 'c': 0.828243}","{'x': 1269, 'y': 350.697, 'c': 0.747838}","{'x': 1351.47, 'y': 636.203, 'c': 0.613699}","{'x': 1316.13, 'y': 633.335, 'c': 0.553118}","{'x': 1339.71, 'y': 859.968, 'c': 0.717816}","{'x': 1377.95, 'y': 1074.79, 'c': 0.381723}","{'x': 1380.93, 'y': 636.207, 'c': 0.555974}","{'x': 1307.29, 'y': 856.875, 'c': 0.749652}","{'x': 1351.53, 'y': 1074.87, 'c': 0.254283}","{'x': 1233.83, 'y': 259.475, 'c': 0.141128}","{'x': 1248.46, 'y': 253.638, 'c': 0.832555}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1307.18, 'y': 250.798, 'c': 0.886723}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1354.33, 'y': 1074.88, 'c': 0.118137}","{'x': 1383.81, 'y': 1074.89, 'c': 0.0677083}","{'x': 1377.94, 'y': 1074.91, 'c': 0.0704752}","{'x': 1392.7, 'y': 1074.82, 'c': 0.244358}",
"{'x': 1236.55, 'y': 274.322, 'c': 0.884481}","{'x': 1330.79, 'y': 350.781, 'c': 0.828006}","{'x': 1277.85, 'y': 365.477, 'c': 0.695641}","{'x': 1233.63, 'y': 506.89, 'c': 0.810841}","{'x': 1227.76, 'y': 386.014, 'c': 0.765904}","{'x': 1392.64, 'y': 336.055, 'c': 0.772292}","{'x': 1327.91, 'y': 441.988, 'c': 0.862485}","{'x': 1272.01, 'y': 347.813, 'c': 0.752976}","{'x': 1351.37, 'y': 633.266, 'c': 0.626709}","{'x': 1310.34, 'y': 633.287, 'c': 0.580251}","{'x': 1339.64, 'y': 856.984, 'c': 0.695051}","{'x': 1383.81, 'y': 1024.83, 'c': 0.420338}","{'x': 1380.92, 'y': 630.395, 'c': 0.566318}","{'x': 1310.26, 'y': 853.952, 'c': 0.694079}","{'x': 1369.1, 'y': 1074.87, 'c': 0.201812}","{'x': 1233.83, 'y': 262.399, 'c': 0.214398}","{'x': 1251.36, 'y': 253.663, 'c': 0.831573}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1304.45, 'y': 250.78, 'c': 0.879958}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1374.99, 'y': 1074.86, 'c': 0.0736285}","{'x': 1354.35, 'y': 1074.84, 'c': 0.0758024}","{'x': 1357.31, 'y': 1074.89, 'c': 0.0837967}","{'x': 1404.43, 'y': 1030.66, 'c': 0.291823}",
"{'x': 1236.58, 'y': 274.206, 'c': 0.89389}","{'x': 1330.79, 'y': 356.642, 'c': 0.835475}","{'x': 1274.89, 'y': 368.394, 'c': 0.679828}","{'x': 1233.74, 'y': 506.8, 'c': 0.822551}","{'x': 1230.7, 'y': 386.126, 'c': 0.753118}","{'x': 1395.52, 'y': 338.942, 'c': 0.794112}","{'x': 1330.82, 'y': 450.868, 'c': 0.86109}","{'x': 1274.86, 'y': 344.9, 'c': 0.762743}","{'x': 1351.4, 'y': 639.143, 'c': 0.608494}","{'x': 1313.16, 'y': 636.246, 'c': 0.560097}","{'x': 1313.2, 'y': 845.233, 'c': 0.507349}","{'x': 1375.01, 'y': 1021.78, 'c': 0.43766}","{'x': 1380.91, 'y': 639.191, 'c': 0.558786}","{'x': 1330.84, 'y': 857, 'c': 0.682086}","{'x': 1377.93, 'y': 1074.84, 'c': 0.241096}","{'x': 1236.59, 'y': 256.57, 'c': 0.188398}","{'x': 1254.24, 'y': 253.619, 'c': 0.857326}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1307.24, 'y': 250.747, 'c': 0.900048}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1386.81, 'y': 1074.85, 'c': 0.110979}","{'x': 1327.89, 'y': 1039.46, 'c': 0.14558}","{'x': 1325.01, 'y': 1030.61, 'c': 0.137042}","{'x': 1407.34, 'y': 1021.88, 'c': 0.286681}",
"{'x': 1236.68, 'y': 271.357, 'c': 0.904885}","{'x': 1330.89, 'y': 359.464, 'c': 0.842842}","{'x': 1274.91, 'y': 368.396, 'c': 0.697456}","{'x': 1236.53, 'y': 506.796, 'c': 0.833242}","{'x': 1230.79, 'y': 386.109, 'c': 0.776082}","{'x': 1398.48, 'y': 339.056, 'c': 0.838103}","{'x': 1330.74, 'y': 456.795, 'c': 0.904272}","{'x': 1280.71, 'y': 347.829, 'c': 0.793077}","{'x': 1351.43, 'y': 636.254, 'c': 0.614939}","{'x': 1310.28, 'y': 636.257, 'c': 0.574053}","{'x': 1327.83, 'y': 859.903, 'c': 0.578085}","{'x': 1389.67, 'y': 1042.42, 'c': 0.460387}","{'x': 1383.88, 'y': 636.276, 'c': 0.547633}","{'x': 1336.74, 'y': 868.775, 'c': 0.620528}","{'x': 1395.56, 'y': 1074.82, 'c': 0.25799}","{'x': 1236.61, 'y': 250.797, 'c': 0.196666}","{'x': 1257.15, 'y': 250.752, 'c': 0.892176}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1310.25, 'y': 253.61, 'c': 0.865313}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1401.47, 'y': 1074.83, 'c': 0.131802}","{'x': 1348.49, 'y': 1051.32, 'c': 0.100223}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1416.14, 'y': 1048.24, 'c': 0.249611}",
"{'x': 1239.57, 'y': 271.305, 'c': 0.879998}","{'x': 1330.92, 'y': 359.534, 'c': 0.853885}","{'x': 1274.96, 'y': 368.406, 'c': 0.692686}","{'x': 1236.67, 'y': 506.754, 'c': 0.83223}","{'x': 1233.61, 'y': 388.922, 'c': 0.777647}","{'x': 1398.5, 'y': 341.808, 'c': 0.834663}","{'x': 1330.78, 'y': 462.538, 'c': 0.880628}","{'x': 1280.94, 'y': 350.754, 'c': 0.794255}","{'x': 1351.38, 'y': 642.103, 'c': 0.61488}","{'x': 1310.31, 'y': 642.13, 'c': 0.567809}","{'x': 1330.88, 'y': 859.982, 'c': 0.583847}","{'x': 1377.94, 'y': 1074.82, 'c': 0.379568}","{'x': 1380.92, 'y': 642.076, 'c': 0.556158}","{'x': 1354.28, 'y': 877.548, 'c': 0.696722}","{'x': 1404.5, 'y': 1074.87, 'c': 0.260936}","{'x': 1236.76, 'y': 250.755, 'c': 0.222847}","{'x': 1257.29, 'y': 250.699, 'c': 0.913747}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1310.29, 'y': 253.605, 'c': 0.848565}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1419.09, 'y': 1074.89, 'c': 0.129492}","{'x': 1345.58, 'y': 1074.81, 'c': 0.0786721}","{'x': 1345.6, 'y': 1074.86, 'c': 0.082236}","{'x': 1380.94, 'y': 1074.88, 'c': 0.210944}",
"{'x': 1242.59, 'y': 271.228, 'c': 0.861419}","{'x': 1333.86, 'y': 362.364, 'c': 0.825973}","{'x': 1280.73, 'y': 365.539, 'c': 0.720025}","{'x': 1239.55, 'y': 503.875, 'c': 0.83322}","{'x': 1233.69, 'y': 388.929, 'c': 0.784228}","{'x': 1401.41, 'y': 341.98, 'c': 0.817863}","{'x': 1327.96, 'y': 468.506, 'c': 0.849835}","{'x': 1283.76, 'y': 356.648, 'c': 0.795187}","{'x': 1348.55, 'y': 645.023, 'c': 0.622132}","{'x': 1307.37, 'y': 647.953, 'c': 0.596104}","{'x': 1342.66, 'y': 868.749, 'c': 0.577247}","{'x': 1433.81, 'y': 1074.88, 'c': 0.18421}","{'x': 1380.98, 'y': 642.122, 'c': 0.561911}","{'x': 1354.42, 'y': 877.553, 'c': 0.673596}","{'x': 1383.82, 'y': 1074.89, 'c': 0.144437}","{'x': 1242.52, 'y': 250.758, 'c': 0.224184}","{'x': 1260.15, 'y': 247.897, 'c': 0.92276}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1319.07, 'y': 250.765, 'c': 0.831522}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1401.43, 'y': 1074.91, 'c': 0.0694571}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1445.57, 'y': 1074.89, 'c': 0.0804834}",
"{'x': 1251.3, 'y': 271.217, 'c': 0.860351}","{'x': 1339.67, 'y': 359.562, 'c': 0.800809}","{'x': 1280.91, 'y': 365.465, 'c': 0.761105}","{'x': 1239.67, 'y': 506.652, 'c': 0.838718}","{'x': 1236.59, 'y': 385.997, 'c': 0.789139}","{'x': 1401.49, 'y': 341.961, 'c': 0.817525}","{'x': 1327.84, 'y': 477.277, 'c': 0.843544}","{'x': 1283.9, 'y': 359.513, 'c': 0.783369}","{'x': 1351.35, 'y': 645.058, 'c': 0.648364}","{'x': 1307.37, 'y': 647.951, 'c': 0.62141}","{'x': 1333.89, 'y': 871.701, 'c': 0.650369}","{'x': 1377.86, 'y': 1074.88, 'c': 0.289666}","{'x': 1386.76, 'y': 644.98, 'c': 0.577932}","{'x': 1360.34, 'y': 871.698, 'c': 0.647441}","{'x': 1445.63, 'y': 1074.89, 'c': 0.19268}","{'x': 1245.53, 'y': 250.759, 'c': 0.240492}","{'x': 1260.31, 'y': 247.891, 'c': 0.905429}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1324.85, 'y': 250.679, 'c': 0.858747}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1451.61, 'y': 1074.9, 'c': 0.0884206}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1383.79, 'y': 1074.91, 'c': 0.114615}",
"{'x': 1254.32, 'y': 271.183, 'c': 0.882181}","{'x': 1345.52, 'y': 359.541, 'c': 0.807567}","{'x': 1283.72, 'y': 365.361, 'c': 0.765709}","{'x': 1245.51, 'y': 506.629, 'c': 0.808855}","{'x': 1236.75, 'y': 380.228, 'c': 0.758565}","{'x': 1404.41, 'y': 342.032, 'c': 0.790504}","{'x': 1324.92, 'y': 480.314, 'c': 0.845433}","{'x': 1286.7, 'y': 359.573, 'c': 0.790069}","{'x': 1351.36, 'y': 647.961, 'c': 0.64581}","{'x': 1307.27, 'y': 648.031, 'c': 0.639568}","{'x': 1345.55, 'y': 865.777, 'c': 0.565317}","{'x': 1469.05, 'y': 1074.89, 'c': 0.146894}","{'x': 1389.74, 'y': 645.082, 'c': 0.578763}","{'x': 1357.38, 'y': 877.536, 'c': 0.625439}","{'x': 1375.06, 'y': 1074.89, 'c': 0.148433}","{'x': 1251.41, 'y': 250.711, 'c': 0.252952}","{'x': 1263.2, 'y': 247.832, 'c': 0.878901}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1327.81, 'y': 250.625, 'c': 0.880045}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1475.03, 'y': 1074.9, 'c': 0.052076}",
"{'x': 1257.12, 'y': 271.342, 'c': 0.908855}","{'x': 1351.42, 'y': 356.557, 'c': 0.831028}","{'x': 1298.51, 'y': 362.462, 'c': 0.761619}","{'x': 1254.24, 'y': 503.667, 'c': 0.811054}","{'x': 1251.33, 'y': 365.388, 'c': 0.694061}","{'x': 1404.46, 'y': 341.934, 'c': 0.783609}","{'x': 1324.89, 'y': 480.349, 'c': 0.829486}","{'x': 1286.66, 'y': 362.438, 'c': 0.839621}","{'x': 1351.45, 'y': 648.06, 'c': 0.640936}","{'x': 1307.34, 'y': 648.094, 'c': 0.616416}","{'x': 1333.78, 'y': 877.629, 'c': 0.632687}","{'x': 1377.88, 'y': 1074.89, 'c': 0.21637}","{'x': 1392.68, 'y': 648.012, 'c': 0.575152}","{'x': 1375.07, 'y': 883.388, 'c': 0.649586}","{'x': 1469.12, 'y': 1074.88, 'c': 0.148312}","{'x': 1254.34, 'y': 256.547, 'c': 0.114028}","{'x': 1266.07, 'y': 247.872, 'c': 0.868413}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1327.99, 'y': 250.633, 'c': 0.90102}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1475.05, 'y': 1074.9, 'c': 0.0661857}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1386.76, 'y': 1074.91, 'c': 0.0644441}",
"{'x': 1257.24, 'y': 271.297, 'c': 0.930565}","{'x': 1351.56, 'y': 356.599, 'c': 0.827201}","{'x': 1301.4, 'y': 362.405, 'c': 0.752317}","{'x': 1257.2, 'y': 500.871, 'c': 0.806471}","{'x': 1254.28, 'y': 365.459, 'c': 0.697685}","{'x': 1413.22, 'y': 344.826, 'c': 0.736065}","{'x': 1321.95, 'y': 483.099, 'c': 0.820946}","{'x': 1283.9, 'y': 362.406, 'c': 0.841514}","{'x': 1354.28, 'y': 653.894, 'c': 0.610015}","{'x': 1307.36, 'y': 653.905, 'c': 0.572228}","{'x': 1330.78, 'y': 880.586, 'c': 0.724571}","{'x': 1377.9, 'y': 1074.9, 'c': 0.128297}","{'x': 1398.42, 'y': 650.995, 'c': 0.569508}","{'x': 1398.56, 'y': 886.498, 'c': 0.749088}","{'x': 1469.26, 'y': 1074.89, 'c': 0.0940899}","{'x': 1257.32, 'y': 250.738, 'c': 0.15312}","{'x': 1271.95, 'y': 247.828, 'c': 0.860475}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1330.85, 'y': 250.758, 'c': 0.897668}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}",
"{'x': 1260.08, 'y': 271.254, 'c': 0.920643}","{'x': 1354.4, 'y': 347.875, 'c': 0.822287}","{'x': 1304.26, 'y': 356.629, 'c': 0.732997}","{'x': 1260.12, 'y': 503.647, 'c': 0.813559}","{'x': 1257.22, 'y': 362.548, 'c': 0.680008}","{'x': 1416.2, 'y': 342.036, 'c': 0.740747}","{'x': 1319.09, 'y': 483.157, 'c': 0.810632}","{'x': 1283.89, 'y': 359.59, 'c': 0.831383}","{'x': 1354.44, 'y': 653.875, 'c': 0.626284}","{'x': 1307.41, 'y': 653.882, 'c': 0.591292}","{'x': 1322, 'y': 877.611, 'c': 0.695043}","{'x': 1377.83, 'y': 1074.89, 'c': 0.249613}","{'x': 1401.45, 'y': 651.015, 'c': 0.597824}","{'x': 1407.42, 'y': 889.377, 'c': 0.694471}","{'x': 1469.26, 'y': 1074.9, 'c': 0.0711842}","{'x': 1257.34, 'y': 250.714, 'c': 0.137542}","{'x': 1277.74, 'y': 247.757, 'c': 0.882255}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1330.98, 'y': 247.898, 'c': 0.90425}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1380.92, 'y': 1074.91, 'c': 0.0931884}",
"{'x': 1260.11, 'y': 271.193, 'c': 0.921002}","{'x': 1357.45, 'y': 350.725, 'c': 0.790449}","{'x': 1307.26, 'y': 362.375, 'c': 0.769243}","{'x': 1263.22, 'y': 503.73, 'c': 0.707346}","{'x': 1260.15, 'y': 356.619, 'c': 0.592094}","{'x': 1422, 'y': 341.911, 'c': 0.794646}","{'x': 1313.25, 'y': 483.129, 'c': 0.803601}","{'x': 1283.76, 'y': 350.777, 'c': 0.814464}","{'x': 1354.54, 'y': 650.948, 'c': 0.615067}","{'x': 1310.2, 'y': 650.954, 'c': 0.592817}","{'x': 1307.31, 'y': 877.584, 'c': 0.604487}","{'x': 1375.04, 'y': 1074.89, 'c': 0.251227}","{'x': 1401.59, 'y': 650.973, 'c': 0.585192}","{'x': 1422.06, 'y': 901.135, 'c': 0.759034}","{'x': 1472.19, 'y': 1074.9, 'c': 0.0715928}","{'x': 1257.36, 'y': 250.651, 'c': 0.165725}","{'x': 1277.75, 'y': 247.743, 'c': 0.880139}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1330.92, 'y': 247.803, 'c': 0.887298}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1357.41, 'y': 1074.9, 'c': 0.0588312}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1380.85, 'y': 1074.91, 'c': 0.0960422}",
"{'x': 1260.2, 'y': 268.432, 'c': 0.924192}","{'x': 1366.2, 'y': 350.741, 'c': 0.766219}","{'x': 1313.24, 'y': 362.414, 'c': 0.713757}","{'x': 1277.89, 'y': 486.117, 'c': 0.324765}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1422.02, 'y': 341.948, 'c': 0.775408}","{'x': 1307.38, 'y': 483.287, 'c': 0.832983}","{'x': 1283.81, 'y': 344.901, 'c': 0.82266}","{'x': 1363.26, 'y': 645.142, 'c': 0.614389}","{'x': 1319.11, 'y': 647.992, 'c': 0.595844}","{'x': 1286.71, 'y': 859.892, 'c': 0.789691}","{'x': 1366.19, 'y': 1074.86, 'c': 0.556796}","{'x': 1410.29, 'y': 645.094, 'c': 0.583128}","{'x': 1422.19, 'y': 889.399, 'c': 0.728669}","{'x': 1475.14, 'y': 1074.9, 'c': 0.064399}","{'x': 1260.08, 'y': 247.806, 'c': 0.18489}","{'x': 1277.91, 'y': 247.652, 'c': 0.914465}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1333.88, 'y': 247.711, 'c': 0.892501}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1357.31, 'y': 1074.89, 'c': 0.135148}","{'x': 1357.35, 'y': 1074.91, 'c': 0.110743}","{'x': 1375.02, 'y': 1074.89, 'c': 0.304423}",
"{'x': 1260.24, 'y': 268.323, 'c': 0.9117}","{'x': 1371.98, 'y': 344.932, 'c': 0.776377}","{'x': 1321.99, 'y': 359.509, 'c': 0.651972}","{'x': 1283.7, 'y': 474.353, 'c': 0.107202}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1422.04, 'y': 341.829, 'c': 0.779724}","{'x': 1307.27, 'y': 483.239, 'c': 0.853351}","{'x': 1283.84, 'y': 341.965, 'c': 0.806589}","{'x': 1374.97, 'y': 647.969, 'c': 0.621943}","{'x': 1327.83, 'y': 647.945, 'c': 0.619567}","{'x': 1277.79, 'y': 856.983, 'c': 0.795319}","{'x': 1357.36, 'y': 1074.83, 'c': 0.785504}","{'x': 1422.12, 'y': 648.022, 'c': 0.59629}","{'x': 1425.01, 'y': 892.272, 'c': 0.728949}","{'x': 1478.04, 'y': 1074.9, 'c': 0.0671081}","{'x': 1260.15, 'y': 247.737, 'c': 0.18469}","{'x': 1280.65, 'y': 247.611, 'c': 0.923968}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1333.81, 'y': 247.67, 'c': 0.903547}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1354.39, 'y': 1074.9, 'c': 0.163826}","{'x': 1351.41, 'y': 1074.91, 'c': 0.152032}","{'x': 1369.15, 'y': 1074.87, 'c': 0.498579}",
